species,state,lat,lon,date_time,day,month,year
Lycorma delicatula,Maryland,39.379622,-77.278166,2025-03-12 18:44,12,3,2025
Lycorma delicatula,Connecticut,41.311703,-72.926467,2024-08-29 15:22:09,29,8,2024
Lycorma delicatula,Connecticut,41.04504,-73.505071,2024-08-17,17,8,2024
Lycorma delicatula,New York,40.611475,-74.082602,2025-03-14 10:12:16,14,3,2025
Lycorma delicatula,New Jersey,39.761457,-75.197303,2025-03-10 18:39:34,10,3,2025
Lycorma delicatula,Pennsylvania,40.233941,-77.670615,2025-03-17 9:44,17,3,2025
Lycorma delicatula,District of Columbia,38.939583,-77.079139,2024-07-14 9:16:03,14,7,2024
Lycorma delicatula,New Jersey,40.320545,-74.057867,2023-07-03 11:12:31,3,7,2023
Lycorma delicatula,New Jersey,40.74835,-74.323219,2023-08-14 10:17,14,8,2023
Lycorma delicatula,New York,40.623097,-73.625367,2024-06-29 17:00:45,29,6,2024
Lycorma delicatula,New York,40.655303,-73.758928,2025-03-11 9:08:37,11,3,2025
Lycorma delicatula,New York,40.623092,-73.625358,2024-06-29 17:00:25,29,6,2024
Lycorma delicatula,Maryland,39.027294,-76.837602,2024-10-03 18:47,3,10,2024
Lycorma delicatula,New York,40.622845,-73.625437,2024-06-29 16:55:50,29,6,2024
Lycorma delicatula,Virginia,39.050797,-77.333192,2025-03-09 14:19:55,9,3,2025
Lycorma delicatula,Pennsylvania,40.369275,-75.975646,2025-02-24 9:05:06,24,2,2025
Lycorma delicatula,Virginia,39.218555,-77.754178,2025-03-08 15:12,8,3,2025
Lycorma delicatula,New York,40.622683,-73.625388,2024-06-29 16:51:14,29,6,2024
Lycorma delicatula,New York,40.622913,-73.625437,2024-06-29 17:01:41,29,6,2024
Lycorma delicatula,New York,40.62303,-73.625503,2024-06-29 16:57:28,29,6,2024
Lycorma delicatula,Maryland,39.559265,-77.520595,2025-03-09 15:21:09,9,3,2025
Lycorma delicatula,Maryland,39.320745,-76.914624,2024-08-25 8:45,25,8,2024
Lycorma delicatula,New York,40.622692,-73.62535,2024-06-29 16:50:48,29,6,2024
Lycorma delicatula,New York,40.62273,-73.625375,2024-06-29 16:53:57,29,6,2024
Lycorma delicatula,New York,40.62255,-73.625305,2024-06-29 17:03,29,6,2024
Lycorma delicatula,New York,40.743908,-73.73877,2024-10-20 15:10,20,10,2024
Lycorma delicatula,Pennsylvania,39.884797,-75.553505,2024-07-21 13:36:22,21,7,2024
Lycorma delicatula,New York,40.743992,-73.739418,2024-10-20 13:24,20,10,2024
Lycorma delicatula,New York,40.743992,-73.739418,2024-10-20 13:24,20,10,2024
Lycorma delicatula,New York,41.449601,-73.978514,2025-02-23 13:47:03,23,2,2025
Lycorma delicatula,New York,40.823574,-73.908688,2023-05-19 15:05:24,19,5,2023
Lycorma delicatula,New York,40.622713,-73.625358,2024-06-29 16:53:42,29,6,2024
Lycorma delicatula,New York,40.622692,-73.625358,2024-06-29 16:53:17,29,6,2024
Lycorma delicatula,New Jersey,40.441076,-74.718828,2025-03-09 17:00:37,9,3,2025
Lycorma delicatula,New Jersey,39.847267,-74.905687,2025-03-08 14:33:33,8,3,2025
Lycorma delicatula,New Jersey,40.74835,-74.323219,2023-08-12 11:35,12,8,2023
Lycorma delicatula,New York,40.622658,-73.625305,2024-06-29 16:47:28,29,6,2024
Lycorma delicatula,New York,40.622667,-73.62535,2024-06-29 16:48:28,29,6,2024
Lycorma delicatula,New Jersey,40.925874,-75.066221,2025-03-03 11:48:17,3,3,2025
Lycorma delicatula,Connecticut,41.278728,-73.116133,2024-10-22 13:04:29,22,10,2024
Lycorma delicatula,Pennsylvania,41.308166,-75.852696,2025-02-27 8:48:58,27,2,2025
Lycorma delicatula,New Jersey,40.602639,-74.53325,2025-03-02 15:45:52,2,3,2025
